N,kernel,gflops,time_ms
256,naive,984.4,0.034
256,tiled,1220.4,0.027
256,tiled with coarsening,563.0,0.060
256,1d blocktiled,1449.9,0.023
256,2d blocktiled,1124.1,0.030
256,cuBLAS,2436.3,0.014
512,naive,1195.1,0.225
512,tiled,1506.1,0.178
512,tiled with coarsening,1592.6,0.169
512,1d blocktiled,4531.4,0.059
512,2d blocktiled,4413.2,0.061
512,cuBLAS,9246.7,0.029
1024,naive,1335.6,1.608
1024,tiled,1645.9,1.305
1024,tiled with coarsening,1598.9,1.343
1024,1d blocktiled,4807.8,0.447
1024,2d blocktiled,7309.7,0.294
1024,cuBLAS,11851.7,0.181
2048,naive,1341.9,12.802
2048,tiled,1702.4,10.092
2048,tiled with coarsening,1762.9,9.745
2048,1d blocktiled,5507.4,3.119
2048,2d blocktiled,9320.4,1.843
2048,cuBLAS,13844.9,1.241
4096,naive,1141.2,120.434
4096,tiled,1524.5,90.152
4096,tiled with coarsening,1637.5,83.932
4096,1d blocktiled,4659.5,29.497
4096,2d blocktiled,9225.9,14.897
4096,cuBLAS,11621.3,11.826
8192,naive,1143.7,961.354
8192,tiled,1544.1,712.086
8192,tiled with coarsening,1564.4,702.846
8192,1d blocktiled,4551.4,241.576
8192,2d blocktiled,8721.2,126.073
8192,cuBLAS,13884.3,79.191
